ObservedBy_Person_ID,Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Patch,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Multiple_Observers,Multiple_FirstY,Observed_Status_Conflict_Flag
'2218',Imperial National Wildlife Refuge,2205,Imperial National Wildlife Refuge,34.048927,-111.093735,1527,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4506,-9999,256,Flower buds (1 location),2010,5,5,125,2455322,6,2010,5,5,125,2455322,-9999,1,1,0,0,-9999
'2218',Imperial National Wildlife Refuge,2205,Imperial National Wildlife Refuge,34.048927,-111.093735,1527,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4550,-9999,256,Flower buds (1 location),2010,4,29,119,2455316,15,2010,5,5,125,2455322,-9999,2,7,0,0,-9999
'2218',Imperial National Wildlife Refuge,2205,Imperial National Wildlife Refuge,34.048927,-111.093735,1527,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4555,-9999,256,Flower buds (1 location),2010,4,29,119,2455316,15,2010,5,5,125,2455322,-9999,2,7,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,201,Open flowers (1 location),2010,6,6,157,2455354,8,2010,6,28,179,2455376,6,2,23,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,202,Ripe fruits (1 location),2010,7,4,185,2455382,6,2010,7,11,192,2455389,9,2,8,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4865,-9999,256,Flower buds (1 location),2010,5,15,135,2455332,6,2010,6,6,157,2455354,22,4,23,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,201,Open flowers (1 location),2010,5,15,135,2455332,6,2010,5,29,149,2455346,8,3,15,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,4866,-9999,256,Flower buds (1 location),2010,4,25,115,2455312,7,2010,5,29,149,2455346,30,6,35,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,201,Open flowers (1 location),2010,4,18,108,2455305,8,2010,5,15,135,2455332,7,5,28,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,202,Ripe fruits (1 location),2010,6,28,179,2455376,22,2010,6,28,179,2455376,6,1,1,0,0,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,256,Flower buds (1 location),2010,4,2,92,2455289,-9999,2010,6,6,157,2455354,22,10,66,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,256,Flower buds (1 location),2010,7,24,205,2455402,4,2010,7,29,210,2455407,10,2,6,0,1,-9999
'5',-9999,2329,Lower Pima Canyon,32.354759,-110.939194,961,AZ,210,Carnegiea,gigantea,saguaro,Plantae,5653,-9999,256,Flower buds (1 location),2010,10,10,283,2455480,11,2010,10,31,304,2455501,11,3,22,0,1,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9838,-9999,201,Open flowers (1 location),2010,5,12,132,2455329,10,2010,5,23,143,2455340,21,2,12,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9838,-9999,256,Flower buds (1 location),2010,4,18,108,2455305,-9999,2010,5,23,143,2455340,21,4,36,0,0,-9999
'20',-9999,5124,Tucson Mountains Dog Circle,32.197659,-111.029831,785,AZ,210,Carnegiea,gigantea,saguaro,Plantae,9839,-9999,201,Open flowers (1 location),2010,5,23,143,2455340,11,2010,5,23,143,2455340,21,1,1,0,0,-9999
