"taxa","yr","phase","start","start_lcl","start_ucl","peak","peak_lcl","peak_ucl","end","end_lcl","end_ucl"
"A. chrysanthus","2018-2023","flowers",109,98,121,179,153,202,228,222,235
"A. chrysanthus","2018-2023","flowers_open",142,138,149,193,171,210,228,221,235
"A. palmeri","2017-2023","flowers",139,137,142,187,175,200,257,254,260
"A. palmeri","2017-2023","flowers_open",176,175,178,205,198,213,250,247,254
"A. parryi","2017-2023","flowers",110,98,120,161,139,184,218,204,234
"A. parryi","2017-2023","flowers_open",142,133,155,175,151,203,217,191,237
"Agave spp.","2017-2023","flowers",130,127,134,186,174,198,255,253,259
"Agave spp.","2017-2023","flowers_open",171,169,173,206,198,215,249,247,252
"C. gigantea","2012-2023","flowers",92,91,94,129,121,136,168,167,171
"C. gigantea","2012-2023","flowers_open",112,111,113,135,129,141,162,160,164
