"taxa","yr","phase","start","start_lcl","start_ucl","peak","peak_lcl","peak_ucl","end","end_lcl","end_ucl"
"A. chrysanthus","2018-2023","flowers",95,81,113,179,153,202,235,225,245
"A. chrysanthus","2018-2023","flowers_open",133,127,142,193,171,210,234,224,245
"A. palmeri","2017-2023","flowers",128,125,133,187,175,200,278,272,284
"A. palmeri","2017-2023","flowers_open",169,168,171,205,198,213,269,265,274
"A. parryi","2017-2023","flowers",84,57,104,161,139,184,242,221,265
"A. parryi","2017-2023","flowers_open",124,111,138,175,151,203,243,220,261
"Agave spp.","2017-2023","flowers",113,107,120,186,174,198,276,271,282
"Agave spp.","2017-2023","flowers_open",157,154,161,206,198,215,267,263,271
"C. gigantea","2012-2023","flowers",79,76,82,129,121,136,185,182,190
"C. gigantea","2012-2023","flowers_open",104,103,106,135,129,141,174,172,177
