"taxa","yr","phase","start","peak","end","nobs"
"A. chrysanthus",2021,"flowers",133,184,226,15
"A. chrysanthus",2021,"flowers_open",173,200,226,15
"A. palmeri",2018,"flowers",139,182,234,106
"A. palmeri",2018,"flowers_open",172,206,237,106
"A. palmeri",2019,"flowers",136,187,260,67
"A. palmeri",2019,"flowers_open",177,203,238,67
"A. palmeri",2020,"flowers",147,225,281,54
"A. palmeri",2020,"flowers_open",187,219,260,54
"A. palmeri",2021,"flowers",130,183,258,69
"A. palmeri",2021,"flowers_open",171,197,259,69
"A. palmeri",2022,"flowers",138,182,264,68
"A. palmeri",2022,"flowers_open",169,211,263,68
"A. palmeri",2023,"flowers",147,190,NA,50
"A. palmeri",2023,"flowers_open",179,205,NA,50
"A. parryi",2018,"flowers",115,158,235,18
"A. parryi",2018,"flowers_open",141,163,246,18
"A. parryi",2019,"flowers",118,168,225,12
"A. parryi",2019,"flowers_open",152,179,217,12
"Agave spp.",2018,"flowers",121,182,235,131
"Agave spp.",2018,"flowers_open",134,208,237,131
"Agave spp.",2019,"flowers",132,184,257,86
"Agave spp.",2019,"flowers_open",170,201,239,86
"Agave spp.",2020,"flowers",134,229,280,60
"Agave spp.",2020,"flowers_open",184,223,260,60
"Agave spp.",2021,"flowers",129,183,259,90
"Agave spp.",2021,"flowers_open",170,202,258,90
"Agave spp.",2022,"flowers",117,187,264,76
"Agave spp.",2022,"flowers_open",166,211,263,76
"Agave spp.",2023,"flowers",143,191,NA,58
"Agave spp.",2023,"flowers_open",176,208,NA,58
"C. gigantea",2012,"flowers",76,114,172,19
"C. gigantea",2012,"flowers_open",105,128,152,19
"C. gigantea",2013,"flowers",93,137,195,29
"C. gigantea",2013,"flowers_open",121,147,179,29
"C. gigantea",2014,"flowers",81,134,181,26
"C. gigantea",2014,"flowers_open",104,142,179,26
"C. gigantea",2015,"flowers",90,144,290,15
"C. gigantea",2015,"flowers_open",235,254,270,15
"C. gigantea",2016,"flowers",88,136,181,21
"C. gigantea",2016,"flowers_open",112,136,158,21
"C. gigantea",2017,"flowers",80,129,171,36
"C. gigantea",2017,"flowers_open",118,133,151,36
"C. gigantea",2018,"flowers",99,131,165,56
"C. gigantea",2018,"flowers_open",116,137,161,56
"C. gigantea",2019,"flowers",96,131,178,70
"C. gigantea",2019,"flowers_open",113,138,170,70
"C. gigantea",2020,"flowers",97,131,169,83
"C. gigantea",2020,"flowers_open",115,138,167,83
"C. gigantea",2021,"flowers",85,123,156,68
"C. gigantea",2021,"flowers_open",102,129,156,68
"C. gigantea",2022,"flowers",92,129,171,63
"C. gigantea",2022,"flowers_open",115,133,156,63
"C. gigantea",2023,"flowers",100,128,NA,38
"C. gigantea",2023,"flowers_open",112,133,NA,38
