"taxa","yr","phase","start","peak","end","nobs"
"A. palmeri",2018,"fruit",198,225,313,106
"A. palmeri",2018,"fruit_ripe",200,225,315,106
"A. palmeri",2019,"fruit",205,273,Inf,67
"A. palmeri",2019,"fruit_ripe",269,313,Inf,67
"A. palmeri",2020,"fruit",208,276,307,54
"A. palmeri",2020,"fruit_ripe",219,279,307,54
"A. palmeri",2021,"fruit",184,219,347,69
"A. palmeri",2021,"fruit_ripe",277,313,347,69
"A. palmeri",2022,"fruit",201,337,Inf,68
"A. palmeri",2022,"fruit_ripe",260,337,Inf,68
"A. palmeri",2023,"fruit",-Inf,8,NA,50
"A. palmeri",2023,"fruit_ripe",-Inf,8,NA,50
"C. gigantea",2012,"fruit",115,150,183,19
"C. gigantea",2012,"fruit_ripe",139,159,179,19
"C. gigantea",2013,"fruit",133,158,193,29
"C. gigantea",2013,"fruit_ripe",165,174,183,29
"C. gigantea",2014,"fruit",109,152,188,26
"C. gigantea",2014,"fruit_ripe",140,164,187,26
"C. gigantea",2015,"fruit",124,166,287,15
"C. gigantea",2015,"fruit_ripe",245,253,260,15
"C. gigantea",2016,"fruit",123,151,181,21
"C. gigantea",2016,"fruit_ripe",165,166,167,21
"C. gigantea",2017,"fruit",128,151,176,36
"C. gigantea",2017,"fruit_ripe",174,175,176,36
"C. gigantea",2018,"fruit",122,157,191,56
"C. gigantea",2018,"fruit_ripe",155,172,191,56
"C. gigantea",2019,"fruit",126,165,198,70
"C. gigantea",2019,"fruit_ripe",162,178,195,70
"C. gigantea",2020,"fruit",121,156,191,83
"C. gigantea",2020,"fruit_ripe",152,171,192,83
"C. gigantea",2021,"fruit",119,154,187,68
"C. gigantea",2021,"fruit_ripe",145,167,185,68
"C. gigantea",2022,"fruit",129,155,185,63
"C. gigantea",2022,"fruit_ripe",159,166,173,63
"C. gigantea",2023,"fruit",124,159,NA,38
"C. gigantea",2023,"fruit_ripe",153,173,NA,38
